Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
160,seth curry\curryse01,dal,7441860.0,7813953.0,8186047.0,mle,32000000.0
161,doug mcdermott\mcderdo01,ind,7333334.0,7333333.0,11534705.223300971,cap space,14666667.0
162,langston galloway\gallola01,det,7333333.0,9384835.395415472,11534705.223300971,mle,7333333.0
163,derrick rose\rosede01,det,7317073.0,7682927.0,11534705.223300971,mle,15000000.0
164,brandon ingram\ingrabr01,nop,7265485.0,9384835.395415472,11534705.223300971,1st round pick,7265485.0
165,d.j. augustin\augusdj01,orl,7250000.0,9384835.395415472,11534705.223300971,cap space,7250000.0
166,darius miller\milleda01,nop,7250000.0,7000000.0,11534705.223300971,early bird rights,7250000.0
167,de'andre hunter\huntede01,atl,7068360.0,7422000.0,7775400.0,1st round pick,14490360.0
168,josh jackson\jacksjo02,mem,7059480.0,9384835.395415472,11534705.223300971,1st round pick,7059480.0
169,dāvis bertāns\bertada01,was,7000000.0,9384835.395415472,11534705.223300971,early bird rights,7000000.0
170,ersan i̇lyasova\ilyaser01,mil,7000000.0,7000000.0,11534705.223300971,mle,7000000.0
171,jaren jackson\jacksja02,mem,6927480.0,7257360.0,9180560.0,1st round pick,14184840.0
172,demarre carroll\carrode01,sas,6842307.0,6167887.0,1252127.0,1st round pick,14262321.0
173,nemanja bjelica\bjeline01,sac,6825000.0,7150000.0,11534705.223300971,cap space,6825000.0
174,jaylen brown\brownja02,bos,6534829.0,22991071.0,24830357.0,1st round pick,109534829.0
175,jabari parker\parkeja01,sac,6500000.0,6500000.0,11534705.223300971,cap space,6500000.0
176,ivica zubac\zubaciv01,lac,6481482.0,7000000.0,7518518.0,bird rights,21000000.0
177,joakim noah\noahjo01,nyk,6431666.0,6431666.0,6431666.0,1st round pick,19294998.0
178,darius garland\garlada01,cle,6400920.0,6720720.0,7040880.0,1st round pick,13121640.0
179,de'aaron fox\foxde01,sac,6392760.0,8099627.0,11534705.223300971,1st round pick,14492387.0
180,trae young\youngtr01,atl,6273000.0,6571800.0,8326471.0,1st round pick,12844800.0
181,montrezl harrell\harremo01,lac,6000000.0,9384835.395415472,11534705.223300971,bird rights,6000000.0
182,ish smith\smithis01,was,5853659.0,6146341.0,11534705.223300971,mle,12000000.0
183,marco belinelli\belinma01,sas,5846154.0,9384835.395415472,11534705.223300971,mle,5846154.0
184,jarrett culver\culveja01,min,5813640.0,6104280.0,6395160.0,1st round pick,11917920.0
185,jonathan isaac\isaacjo01,orl,5806440.0,7362566.0,11534705.223300971,1st round pick,13169006.0
186,rodney hood\hoodro01,por,5718000.0,6003900.0,11534705.223300971,mle,5718000.0
